step,load,iter,du_abs,dd_abs,err_u,err_d,max_d,linear_res_elastic,linear_res_phase,t_iter_s
0,0.0,1,0.0,3.788412535036584e-16,0.0,1.0,1.0,0.0,3.9545685639520823e-16,2.7684121252968907
0,0.0,2,0.0,2.7755575615628914e-17,0.0,0.07326439599419413,1.0,0.0,4.200976349612445e-16,2.5704210409894586
0,0.0,3,0.0,0.0,0.0,0.0,1.0,0.0,4.199791386102458e-16,2.679612750187516
1,0.0001,1,0.006909914445634806,0.018474086893746525,1.0,1.0,1.0,1.4968048195382808e-08,3.99162119816476e-16,2.591154333204031
1,0.0001,2,1.4479561117792511e-06,2.4198519678918036e-05,0.00020954761787158845,0.0013098628266769293,1.0,1.2221650712258083e-08,3.424508274881354e-16,2.5451668328605592
1,0.0001,3,1.907294042815099e-09,3.266358114370297e-08,2.760228158859466e-07,1.7680755390816952e-06,1.0,1.501308396268957e-08,3.0668947395465705e-16,2.706093250308186
2,0.0002,1,0.006910516129281276,0.05483551254951077,1.0,1.0,1.0,1.5571872453547753e-08,3.4158913727462915e-16,2.6317891660146415
2,0.0002,2,8.585902584802732e-06,0.0002822069311715848,0.0012424401338740096,0.005146426431535243,1.0,1.3380731608041676e-08,4.3845441281833723e-16,2.5161580839194357
2,0.0002,3,4.440119658854421e-08,1.497388092251733e-06,6.425163585163664e-06,2.7306904278495565e-05,1.0,2.11391968132487e-08,5.657111101053326e-16,2.579969750251621
2,0.0002,4,2.3644405596509233e-10,8.005091093288202e-09,3.421510803849083e-08,1.4598370145734365e-07,1.0,1.1037718560608168e-08,3.2380075886271754e-16,2.6069651669822633
3,0.00030000000000000003,1,0.006912309122779692,0.08958846448880468,1.0,1.0,1.0,1.6919015272257726e-08,5.151449175756544e-16,2.6870717499405146
3,0.00030000000000000003,2,2.0993749297856682e-05,0.0010073131882454727,0.00303715428881374,0.011243782265866946,1.0,1.993879733474323e-08,4.0608990651231807e-16,2.6221324582584202
3,0.00030000000000000003,3,2.3694983939336476e-07,1.1680846517989481e-05,3.4279404347310004e-05,0.00013038337675102318,1.0,8.609198783825919e-09,5.463876679645557e-16,2.484226666856557
3,0.00030000000000000003,4,2.7572255689487497e-09,1.3648795294006902e-07,3.988863229311088e-07,1.523499188415324e-06,1.0,1.2928381402662528e-08,3.997396345072219e-16,2.8540936252102256
4,0.0004,1,0.006915257209173236,0.12181882438594713,1.0,1.0,1.0,2.48691018092687e-08,5.232270043398079e-16,2.7162948749028146
4,0.0004,2,3.793268932064698e-05,0.0023375402602893876,0.005485362029676706,0.019188662114186707,1.0,1.188675606095212e-08,4.610485634066265e-16,3.2733500828035176
4,0.0004,3,7.297025690916289e-07,4.626290536269018e-05,0.00010552066929971353,0.00037976811544429095,1.0,1.3101999638234695e-08,3.7584063084174525e-16,3.2065967498347163
4,0.0004,4,1.4487633803265475e-08,9.226789798594612e-07,2.095024576099255e-06,7.574190479266358e-06,1.0,1.4006514172003845e-08,4.602867076125988e-16,3.276366625446826
5,0.0005,1,0.0069192996124274745,0.1507383573262496,1.0,1.0,1.0,1.1054235668314977e-08,4.651333278805803e-16,2.8286512084305286
5,0.0005,2,5.840167312690201e-05,0.004289588743459247,0.008440402410384011,0.028457181168394338,1.0,9.831216131340996e-09,4.113896269685664e-16,2.5499069169163704
5,0.0005,3,1.6634978612708303e-06,0.00012587802185888645,0.0002404141971657202,0.0008350762479548795,1.0,9.746267106556473e-09,4.1272247240139833e-16,2.4572361251339316
5,0.0005,4,4.8952834579752927e-08,3.722793313597521e-06,7.074825101059465e-06,2.4697053753479065e-05,1.0,1.1220570090973301e-08,2.611165803569866e-16,2.467614416964352
5,0.0005,5,1.4505308333593688e-09,1.105556324516007e-07,2.0963549992171592e-07,7.334273400122062e-07,1.0,1.7228996573122752e-08,4.122440977497841e-16,3.1769663747400045
6,0.0006000000000000001,1,0.006924350296385241,0.1757230170489321,1.0,1.0,1.0,1.3978675110080344e-08,4.776952790409597e-16,2.623303874861449
6,0.0006000000000000001,2,8.121631777695989e-05,0.0067587057318857936,0.01172908854991893,0.038462267751775255,1.0,1.32797019268115e-08,3.435752248958829e-16,2.4869160829111934
6,0.0006000000000000001,3,3.1210316339856543e-06,0.0002679431431727715,0.00045073277641874133,0.001524803908290282,1.0,1.0944754151848036e-08,4.559933881992145e-16,2.534667792264372
6,0.0006000000000000001,4,1.240174748564728e-07,1.0706506278154171e-05,1.7910340977580867e-05,6.092830898283986e-05,1.0,1.2508987280074876e-08,5.141756929806147e-16,2.468215625267476
6,0.0006000000000000001,5,4.965194287360325e-09,4.296840473469878e-07,7.170628398092937e-07,2.445234862017748e-06,1.0,1.6130328666575193e-08,3.800484019162013e-16,2.524061792064458
7,0.0007,1,0.006930299697256688,0.19634564972970056,1.0,1.0,1.0,8.843753748813907e-09,4.0781050426059576e-16,2.6479248329997063
7,0.0007,2,0.00010510762075707214,0.009543981993595522,0.015166388951213505,0.0486080644350117,1.0,9.016504772483984e-09,4.2950271991253325e-16,3.180677500087768
7,0.0007,3,5.09454961031378e-06,0.00047786607910028174,0.0007351124529766617,0.002433800187364154,1.0,9.944269481884747e-09,3.787589442981846e-16,2.55902862502262
7,0.0007,4,2.5551068389814316e-07,2.4118603189777574e-05,3.6868634122603e-05,0.00012283747168822162,1.0,8.557310281532023e-09,3.6105122564085605e-16,2.47010129224509
7,0.0007,5,1.2919744375130526e-08,1.223093152580078e-06,1.8642403560476206e-06,6.229285722723423e-06,1.0,8.097590806498921e-09,3.731268796211757e-16,2.4877436668612063
8,0.0008,1,0.0069370161312518564,0.2123980738850443,1.0,1.0,1.0,9.592293189583103e-09,3.9523835213125293e-16,2.9019045839086175
8,0.0008,2,0.00012883307186899954,0.012392465579190303,0.018571828208470705,0.05834547061805018,1.0,2.5348608869401868e-08,4.609905585028407e-16,2.78626974998042
8,0.0008,3,7.480445346994215e-06,0.0007442978960254786,0.001078337603006884,0.0035042591602234266,1.0,1.490572725427209e-08,3.9641181839504694e-16,3.3384828749112785
8,0.0008,4,4.496905620256558e-07,4.5067011026018586e-05,6.482478251704807e-05,0.00021218182538891616,1.0,8.669380138165369e-09,4.338475999800401e-16,2.579199374653399
8,0.0008,5,2.7273978350425282e-08,2.743140582123743e-06,3.931658487509299e-06,1.2915091610521885e-05,1.0,1.118857453566522e-08,5.474358220851035e-16,2.7702698749490082
8,0.0008,6,1.6612227777189561e-09,1.6755718872917296e-07,2.3947223796049775e-07,7.888828070063363e-07,1.0,1.1198020760272567e-08,4.0803910076947656e-16,2.6739997919648886
9,0.0009000000000000001,1,0.006944350488568257,0.2238977423907661,1.0,1.0,1.0,1.2605509070503942e-08,3.734938103521933e-16,2.8266691248863935
9,0.0009000000000000001,2,0.0001512876018426759,0.01505070805850206,0.021785709418285344,0.06722134800374287,1.0,7.80661577910716e-09,4.693733311311738e-16,2.488334208726883
9,0.0009000000000000001,3,1.0102203343867815e-05,0.0010410169498694024,0.0014547369635933547,0.004649519636747957,1.0,8.034005496765389e-09,4.637616107791853e-16,3.8975103329867125
9,0.0009000000000000001,4,6.988247444925239e-07,7.260570780780365e-05,0.00010063212472396439,0.00032428066059319953,1.0,1.0480857405645113e-08,4.758546131353035e-16,2.632211625110358
9,0.0009000000000000001,5,4.88048259773822e-08,5.093977710973189e-06,7.027990026961395e-06,2.2751358082399642e-05,1.0,9.535992799416634e-09,3.8955470540807344e-16,2.469575250055641
9,0.0009000000000000001,6,3.4280292165081357e-09,3.590333100676984e-07,4.936428859907538e-07,1.6035593134346205e-06,1.0,7.460967781369925e-09,3.267297450193598e-16,2.6274878326803446
10,0.001,1,0.0069521451450920806,0.23107528429054475,1.0,1.0,1.0,8.195438583660618e-09,3.567140184397165e-16,2.595266457647085
10,0.001,2,0.00017159808748516093,0.017310730312087862,0.02468275387004857,0.07491381159709858,1.0,1.2911845187556602e-08,3.226660052880537e-16,2.9079355001449585
10,0.001,3,1.2753362790484728e-05,0.00133456298091581,0.0018344500185655734,0.005775446668877768,1.0,8.467425914167626e-09,4.723406122305363e-16,2.7109667495824397
10,0.001,4,9.826793894386875e-07,0.00010378936769561918,0.00014134908994706727,0.0004491582386851837,1.0,1.2224855717940187e-08,4.682717026901276e-16,2.5241908747702837
10,0.001,5,7.65075088578333e-08,8.146661649010557e-06,1.1004877956531784e-05,3.5255443584209864e-05,1.0,9.83855697261663e-09,5.36070707899137e-16,2.3290288746356964
10,0.001,6,6.012809431510912e-09,6.470703682026651e-07,8.648854858497453e-07,2.800257804244719e-06,1.0,9.337656437293212e-09,4.811319889941057e-16,2.3242174172773957
