step,load,iter,gdof_sigma,gdof_u,gdof_d,du_abs,dd_abs,err_u,err_d,max_d,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_elastic_assemble_iter_s,t_elastic_solve_iter_s,t_phase_assemble_iter_s,t_phase_solve_iter_s,t_elastic_iter_total_s,t_phase_iter_total_s,t_iter_s
0,0.0,1,76099,54660,9379,0.0,0.0,0.0,0.0,0.0,elastic_solver,_default_spsolve,1,1,True,True,nan,nan,0.0,0.0,2.3288162918761373,0.06100670900195837,0.09764104196801782,0.026834083255380392,2.3898230008780956,0.12447512522339821,2.5173002080991864
1,0.007000000000000001,1,76099,54660,9379,0.4953339227315815,0.39338161756483386,1.0,1.0,0.014773147060858003,elastic_solver,_default_spsolve,1,1,True,True,nan,nan,10157.986823122053,3.689068795673026e-15,0.890661290846765,339.5302502908744,0.12091145804151893,0.02404870791360736,340.42091158172116,0.14496016595512629,340.56990141700953
1,0.007000000000000001,2,76099,54660,9379,0.24144952169706443,0.017138595303829728,0.48744798330298184,0.04356735174847129,0.014991502079005799,elastic_solver,_default_spsolve,1,1,True,True,nan,nan,2415.340782681873,2.91642258504437e-15,0.9027510844171047,331.17704429198056,0.124335833825171,0.023558167275041342,332.07979537639767,0.14789400110021234,332.2322541247122
1,0.007000000000000001,3,76099,54660,9379,0.01029059110466052,0.00035675282287699934,0.020775058263548266,0.0009068873758906701,0.014995287925461558,elastic_solver,_default_spsolve,1,1,True,True,nan,nan,2132.0065386020055,2.3542226915159813e-15,0.9104690840467811,327.370180958882,0.10427112504839897,0.023361375089734793,328.28065004292876,0.12763250013813376,328.4120253333822
1,0.007000000000000001,4,76099,54660,9379,0.0003084833002384977,2.650502572714321e-05,0.0006227784653579299,6.737738761464844e-05,0.014995395840549583,elastic_solver,_default_spsolve,1,1,True,True,nan,nan,2131.7186359264874,2.946395318517483e-15,0.8702336247079074,325.57899004081264,0.10821375017985702,0.023656625300645828,326.44922366552055,0.13187037548050284,326.58495587529615
1,0.007000000000000001,5,76099,54660,9379,4.9138247546796656e-05,3.706898138169557e-06,9.920226597003003e-05,9.423160546027847e-06,0.014995401851186274,elastic_solver,_default_spsolve,1,1,True,True,nan,nan,2132.2068411003506,3.0543541650180275e-15,0.8971034158021212,328.20434599975124,0.11776420939713717,0.023542333859950304,329.10144941555336,0.14130654325708747,329.2486729589291
1,0.007000000000000001,6,76099,54660,9379,0.23836871118289568,0.03520136657566272,0.4812283194100281,0.0894840150222859,0.01659581850508276,elastic_solver,_default_spsolve,1,1,True,True,nan,nan,10157.132750698753,2.9226420764314943e-15,0.9288224158808589,340.10710075031966,0.10359574994072318,0.02363133290782571,341.0359231662005,0.1272270828485489,341.16853166697547
1,0.007000000000000001,7,76099,54660,9379,0.10016009150320172,0.1449249533918803,0.2022072119568477,0.3684080468452367,0.017992878046151392,elastic_solver,_default_spsolve,1,1,True,True,nan,nan,10182.007213574107,3.6213333027932044e-15,0.9033364998176694,328.00498058414087,0.10889529203996062,0.023532415740191936,328.90831708395854,0.13242770778015256,329.0446321661584
1,0.007000000000000001,8,76099,54660,9379,0.13887218606427684,0.08059674068867562,0.2803607418980082,0.20488181727350882,0.019296686916010105,elastic_solver,_default_spsolve,1,1,True,True,nan,nan,5968.253696692747,2.3212300522867295e-15,0.943166125100106,328.41437216708437,0.10311387479305267,0.023298542015254498,329.3575382921845,0.12641241680830717,329.48786399979144
1,0.007000000000000001,9,76099,54660,9379,0.2138759063636019,0.1569022722231749,0.43178126219209095,0.3988551198565235,0.028129745045282477,elastic_solver,_default_spsolve,1,1,True,True,nan,nan,7947.347517233653,3.2946474546675705e-15,0.9262847090139985,331.8049372918904,0.14314416702836752,0.02323645818978548,332.7312220009044,0.166380625218153,332.90198016678914
1,0.007000000000000001,10,76099,54660,9379,0.3643037346109996,0.045673735411732475,0.7354709982348889,0.11610541360439881,0.028147821985113074,elastic_solver,_default_spsolve,1,1,True,True,nan,nan,5843.09622535518,2.9965834734986735e-15,0.935352582950145,347.9623118340969,0.12884391704574227,0.025103624910116196,348.89766441704705,0.15394754195585847,349.0566447908059
1,0.007000000000000001,11,76099,54660,9379,0.276639273262262,0.00643864022739064,0.5584904658592729,0.01636741509999378,0.028158595047366425,elastic_solver,_default_spsolve,1,1,True,True,nan,nan,10195.26381010604,2.3615968343492885e-15,1.1584907500073314,385.9384974585846,0.15130795910954475,0.02359175030142069,387.09698820859194,0.17489970941096544,387.2768859169446
1,0.007000000000000001,12,76099,54660,9379,0.015688572840224083,0.0009442315219123128,0.03167272040184017,0.0024002939632955583,0.028158608668627495,elastic_solver,_default_spsolve,1,1,True,True,nan,nan,9874.959346187745,1.9671269600597478e-15,1.2021860419772565,361.95361437508836,0.10984295886009932,0.021613040938973427,363.1558004170656,0.13145599979907274,363.29193475004286
1,0.007000000000000001,13,76099,54660,9379,0.007720458675316766,0.00030937354004433824,0.015586371780760182,0.0007864463569992563,0.02815872784232064,elastic_solver,_default_spsolve,1,1,True,True,nan,nan,9900.674920545622,1.8175202434085484e-15,0.9360790001228452,344.0722553753294,0.11493862513452768,0.022847041953355074,345.00833437545225,0.13778566708788276,345.1500868750736
1,0.007000000000000001,14,76099,54660,9379,0.008120375756380456,8.0085901653369e-05,0.016393740431908273,0.00020358323337304877,0.02815872784852845,elastic_solver,_default_spsolve,1,1,True,True,nan,nan,9843.661701133638,1.3920522946115057e-15,0.9945789999328554,355.737935999874,0.15332529181614518,0.025599458254873753,356.7325149998069,0.17892475007101893,356.91815791558474
1,0.007000000000000001,15,76099,54660,9379,0.007558858888373848,5.734665335997084e-05,0.015260127646193836,0.000145778681055221,0.028158727884223522,elastic_solver,_default_spsolve,1,1,True,True,nan,nan,9893.13708935501,1.903704204405353e-15,1.361405790783465,391.0136500829831,0.14360450021922588,0.02645304100587964,392.37505587376654,0.17005754122510552,392.5614451668225
1,0.007000000000000001,16,76099,54660,9379,0.016776829697160277,0.00108338956432697,0.03386973701425965,0.0027540421716538773,0.02816007235319047,elastic_solver,_default_spsolve,1,1,True,True,nan,nan,10190.819372551028,1.8788506382776567e-15,1.5324676660820842,358.11669095791876,0.12631633318960667,0.024292292073369026,359.64915862400085,0.1506086252629757,359.80431949999183
